Name ,Category ,Status (Option code) ,Description ,First appeared 
admin ,SCCS ,Optional (XSI) ,Create and administer SCCS files ,PWB UNIX 
alias ,Misc ,Mandatory ,Define or display aliases ,
ar ,Misc ,Mandatory ,Create and maintain library archives ,Version 1 AT&T UNIX 
asa ,Text processing ,Optional (FR) ,Interpret carriage-control characters ,System V 
at ,Process management ,Mandatory ,Execute commands at a later time ,Version 7 AT&T UNIX 
awk ,Text processing ,Mandatory ,Pattern scanning and processing language ,Version 7 AT&T UNIX 
basename ,Filesystem ,Mandatory ,Return non-directory portion of a pathname; see also dirname ,Version 7 AT&T UNIX 
batch ,Process management ,Mandatory ,Schedule commands to be executed in a batch queue ,
bc ,Misc ,Mandatory ,Arbitrary-precision arithmetic language ,Version 6 AT&T UNIX 
bg ,Process management ,Optional (UP) ,Run jobs in the background ,
cc/c99 ,C programming ,Optional (CD) ,Compile standard C programs ,IEEE Std 1003.1-2001 
cal ,Misc ,Optional (XSI) ,Print a calendar ,Version 5 AT&T UNIX 
cat ,Filesystem ,Mandatory ,Concatenate and print files ,Version 1 AT&T UNIX 
cd ,Filesystem ,Mandatory ,Change the working directory ,Version 6 AT&T UNIX 
cflow ,C programming ,Optional (XSI) ,Generate a C-language call graph ,System V 
chgrp ,Filesystem ,Mandatory ,Change the file group ownership ,PWB UNIX 
chmod ,Filesystem ,Mandatory ,Change the file modes/attributes/permissions ,Version 1 AT&T UNIX 
chown ,Filesystem ,Mandatory ,Change the file ownership ,Version 1 AT&T UNIX 
cksum ,Filesystem ,Mandatory ,Write file checksums and sizes ,4.4BSD 
cmp ,Filesystem ,Mandatory ,Compare two files; see also diff ,Version 1 AT&T UNIX 
comm ,Text processing ,Mandatory ,Select or reject lines common to two files ,Version 4 AT&T UNIX 
command ,Shell programming ,Mandatory ,Execute a simple command ,
compress ,Filesystem ,Optional (XSI) ,Compress data ,4.3BSD 
cp ,Filesystem ,Mandatory ,Copy files ,Version 1 AT&T UNIX 
crontab ,Misc ,Mandatory ,Schedule periodic background work ,System V 
csplit ,Text processing ,Mandatory ,Split files based on context ,PWB UNIX 
ctags ,C programming ,Optional (SD) ,Create a tags file ,3BSD 
cut ,Text processing ,Mandatory ,Cut out selected fields of each line of a file ,System III 
cxref ,C programming ,Optional (XSI) ,Generate a C-language program cross-reference table ,System V 
date ,Misc ,Mandatory ,Display the date and time ,Version 1 AT&T UNIX 
dd ,Filesystem ,Mandatory ,Convert and copy a file ,Version 5 AT&T UNIX 
delta ,SCCS ,Optional (XSI) ,Make a delta (change) to an SCCS file ,PWB UNIX 
df ,Filesystem ,Mandatory ,Report free disk space ,Version 1 AT&T UNIX 
diff ,Text processing ,Mandatory ,Compare two files; see also cmp ,Version 5 AT&T UNIX 
dirname ,Filesystem ,Mandatory ,Return the directory portion of a pathname; see also basename ,System III 
du ,Filesystem ,Mandatory ,Estimate file space usage ,Version 1 AT&T UNIX 
echo ,Shell programming ,Mandatory ,Write arguments to standard output ,Version 2 AT&T UNIX 
ed ,Text processing ,Mandatory ,The standard text editor ,Version 1 AT&T UNIX 
env ,Misc ,Mandatory ,Set the environment for command invocation ,System III 
ex ,Text processing ,Optional (XSI) ,Text editor ,1BSD 
expand ,Text processing ,Mandatory ,Convert tabs to spaces ,3BSD 
expr ,Shell programming ,Mandatory ,Evaluate arguments as an expression ,Version 7 AT&T UNIX 
false ,Shell programming ,Mandatory ,Return false value ,Version 7 AT&T UNIX 
fc ,Misc ,Optional (UP) ,Process the command history list ,
fg ,Process management ,Optional (UP) ,Run jobs in the foreground ,
file ,Filesystem ,Mandatory ,Determine file type ,Version 4 AT&T UNIX 
find ,Filesystem ,Mandatory ,Find files ,Version 1 AT&T UNIX 
fold ,Text processing ,Mandatory ,Filter for folding lines ,1BSD 
fort77 ,FORTRAN77 programming ,Obsolescent (FD) ,FORTRAN compiler ,XPG4 
fuser ,Process management ,Optional (XSI) ,List process IDs of all processes that have one or more files open ,System V 
gencat ,Misc ,Mandatory ,Generate a formatted message catalog ,
get ,SCCS ,Optional (XSI) ,Get a version of an SCCS file ,PWB UNIX 
getconf ,Misc ,Mandatory ,Get configuration values ,
getopts ,Shell programming ,Mandatory ,Parse utility options ,
grep ,Misc ,Mandatory ,Search text for a pattern ,Version 4 AT&T UNIX 
hash ,Misc ,Mandatory ,Hash database access method ,
head ,Text processing ,Mandatory ,Copy the first part of files ,PWB UNIX[citation needed] 
iconv ,Text processing ,Mandatory ,Codeset conversion ,HP-UX 
id ,Misc ,Mandatory ,Return user identity ,System V 
ipcrm ,Misc ,Optional (XSI) ,"Remove a message queue, semaphore set, or shared memory segment identifier ",System V 
ipcs ,Misc ,Optional (XSI) ,Report interprocess communication facilities status ,System V 
jobs ,Process management ,Optional (UP) ,Display status of jobs in the current session ,
join ,Text processing ,Mandatory ,Merges two sorted text files based on the presence of a common field ,Version 7 AT&T UNIX 
kill ,Process management ,Mandatory ,Terminate or signal processes ,Version 4 AT&T UNIX 
