GitHub Organization info Organization list,2021 October 8th update,CSV file,,,
Handle,Name,Type and owner,Creation date,Repository count,Member count
@seanpm2001,seanpm2001,Normal account (GitHub) main account,2020.05.25,1146,667
@404-Day,404-Day,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@9x-Internet,9x-Internet,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@AdBool,AdBool,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Advanced-Eye-Chart,Advanced-Eye-Chart,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@AGRAN-lang,AGRAN-lang,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@AudiBass-Manager,AudiBass-Manager,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@BGemJam-game,BGemJam-game,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Bitchecker-dev,Bitchecker-dev,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Blue-Dentures,Blue-Dentures,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@BluPhone,BluPhone,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Boom-Bay,Boom-Bay,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@BootDown-dev,BootDown-dev,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Branch-Ranch,Branch-Ranch,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@CamCamPlus,CamCamPlus,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Candroid-dev,Candroid-dev,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@CH3-c-K,CH3-c-K,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@ChromaTagsForGit,ChromaTagsForGit,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Code-distancing,Code-distancing,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Coloress-dev,Coloress-dev,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@CompuBunker,CompuBunker,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Compunker,Compunker,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@CompuSmell,CompuSmell,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Computing-longevity,Computing-longevity,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@CottonTree,CottonTree,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@CountMausoleum,CountMausoleum,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@CrossCompatXU,CrossCompatXU,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Cyborg-System-Monitor,Cyborg-System-Monitor,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Degoogle-your-life,Degoogle-your-life,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@DentalBar-Whitetooth-pro,DentalBar-Whitetooth-pro,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@DMail-Client,DMail-Client,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Doorcrete,Doorcrete,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@DOS-Buddy,DOS-Buddy,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Economica-dev,Economica-dev,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Egg-org,Egg-org,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Engineer-Superdesk,Engineer-Superdesk,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@FBI-Roleplay-Simulator,FBI-Roleplay-Simulator,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@FourThousandNinetySix,FourThousandNinetySix,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Frog-mania,Frog-mania,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Gaslight-Galactica,Gaslight-Galactica,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@GitHubby-development,GitHubby-development,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@GitManager-dev,GitManager-dev,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Gitty-images,Gitty-images,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@GK-Keyboard,GK-Keyboard,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Go-ogle-engine,Go-ogle-engine,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@Goodbye-world-program,Goodbye-world-program,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@GratyBot,GratyBot,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
@GuineaMyrickILifeArchiveProject,GuineaMyrickILifeArchiveProject,GitHub Organization (by @seanpm2001),Not listed,Not calculated yet,1
